timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
78 127.75 20.1596 0.14 0.02 33613.6126 65.1733 29.35 18.08469999999999 0.0 0.17 8838.462099999999 36.825 27.31 17.8393 0.01 0.18 8523.000700000002 38.3183
79 127.92 20.352500000000003 0.12 0.01 33241.102600000006 76.0686 28.34 18.28350000000001 0.0 0.19 8517.052699999995 54.29859999999999 26.06 18.174100000000003 0.02 0.17 8115.517500000001 60.1693
80 129.12 20.3424 0.09 0.02 33504.63630000001 61.4 28.02 18.013100000000005 0.06 0.2 8475.606599999997 29.358400000000003 25.65 17.961499999999994 0.0 0.17 8070.555600000004 35.195
81 129.55 20.4936 0.16 0.03 33323.93340000001 72.536 27.21 18.1917 0.0 0.21 8261.807200000003 49.0309 25.01 17.8924 0.02 0.16 7908.754800000002 48.5942
82 130.24 20.6682 0.08 0.03 33109.40280000001 76.788 26.2 18.4186 0.01 0.16 7986.580100000003 54.6933 24.29 17.937299999999997 0.0 0.11 7741.8088 47.8633
83 130.53 20.8954 0.08 0.03 32691.598599999998 79.0411 25.12 18.679500000000004 0.01 0.27 7638.745999999998 51.68600000000001 23.15 18.288400000000006 0.0 0.13 7353.9173 63.6275
84 131.53 21.042100000000005 0.11 0.0 32526.6941 77.5514 24.38 18.886399999999995 0.0 0.12 7387.754600000001 53.425 22.44 18.309300000000004 0.0 0.11 7135.487000000001 51.3358
85 133.04 21.078800000000015 0.1 0.04 32677.742999999988 71.5345 24.05 18.781399999999998 0.0 0.1 7322.530299999997 35.8633 22.02 18.1503 0.0 0.13 7063.2997000000005 37.41
86 133.04 21.444300000000013 0.03 0.03 32003.155999999995 83.08380000000001 22.87 19.364699999999992 0.0 0.17 6849.7909 65.2825 20.95 18.6079 0.0 0.12 6622.776500000002 68.3791
87 135.61 21.293700000000012 0.15 0.04 32675.796599999983 22.6933 22.87 18.9184 0.0 0.09 6923.2943000000005 6.985 20.95 18.0787 0.0 0.08 6694.368 6.071700000000001
88 136.22 21.579900000000006 0.08 0.04 32303.761100000007 81.7408 22.29 19.0706 0.03 0.12 6743.085100000001 45.2259 20.14 18.257799999999996 0.0 0.12 6407.775699999999 57.8483
89 138.45 21.597399999999993 0.06 0.02 32529.74959999998 70.1433 21.86 18.876499999999993 0.04 0.14 6639.871900000002 32.7967 19.7 18.120899999999992 0.0 0.12 6312.256299999996 31.98
90 140.82 21.57790000000001 0.11 0.06 32910.276799999985 55.315 21.53 18.603600000000004 0.0 0.18 6557.2400000000025 31.5683 19.33 17.837 0.01 0.11 6257.3984 31.5533
91 142.2 21.733800000000006 0.05 0.02 32846.691999999995 79.9913 20.73 18.939100000000007 0.0 0.14 6268.8028 52.2433 18.39 18.237600000000008 0.01 0.07 5915.267900000001 61.801700000000004
92 143.71 21.858100000000004 0.12 0.02 32626.676499999998 78.8532 19.93 19.263100000000005 0.02 0.13 6019.454100000002 51.2817 17.67 18.450599999999994 0.01 0.09 5677.296700000001 52.361599999999996
93 145.85 21.913899999999998 0.06 0.02 32870.066399999996 70.1151 19.5 19.2185 0.0 0.11 5863.6643 37.865 17.28 18.253300000000003 0.0 0.11 5543.450699999999 32.73
94 147.86 22.017600000000012 0.01 0.07 33021.70439999999 71.4785 19.03 19.245500000000003 0.0 0.11 5712.7319 39.8266 16.84 18.29720000000001 0.0 0.06 5417.539399999998 37.1633
95 150.62 22.018200000000007 0.07 0.04 33508.03689999999 48.2975 18.84 19.0484 0.0 0.07 5669.982400000001 22.8567 16.43 18.265200000000004 0.01 0.09 5307.877799999999 30.95
96 152.34 22.206200000000003 0.06 0.05 33263.9582 88.53289999999998 17.97 19.63350000000001 0.01 0.18 5324.809200000002 53.3609 15.72 18.635499999999997 0.0 0.02 5031.715099999999 51.1633
97 154.04 22.38709999999999 0.04 0.08 33128.5881 81.6339 17.13 20.234699999999993 0.03 0.12 4980.285700000001 58.2453 14.79 19.418699999999998 0.0 0.09 4660.457700000002 61.5258
98 155.45 22.709299999999995 0.04 0.05 32756.002899999992 88.87 16.44 20.665699999999998 0.01 0.12 4686.253899999999 50.498400000000004 13.84 20.552699999999994 0.0 0.06 4264.971500000001 61.9233
99 157.77 22.8656 0.08 0.06 32764.114599999986 79.39699999999999 16.01 21.110100000000006 0.0 0.08 4538.007 41.0867 13.23 21.113699999999998 0.01 0.07 4065.458100000001 43.8867
100 159.29 23.1562 0.11 0.1 32327.163199999984 85.8178 15.21 22.08439999999999 0.0 0.08 4208.534399999999 52.9393 12.35 22.4584 0.0 0.07 3709.4667000000004 54.5708
101 162.99 23.091599999999993 0.06 0.09 32980.94889999999 43.324600000000004 15.24 21.766699999999997 0.0 0.05 4223.489099999999 13.375 12.22 22.323700000000002 0.0 0.02 3687.1589000000004 14.85
102 166.71 23.0389 0.01 0.05 33610.26030000001 45.047 15.21 21.579 0.0 0.09 4230.8589999999995 14.56 12.16 22.073400000000003 0.0 0.02 3685.3457 10.935
103 170.31 23.07269999999999 0.04 0.07 34176.57660000001 51.215 15.09 21.4699 0.0 0.06 4208.473299999999 18.475 12.1 21.961100000000002 0.0 0.02 3683.2893000000004 11.125
104 173.78 23.132 0.06 0.14 34737.3225 51.2935 14.92 21.572599999999998 0.0 0.08 4155.880899999999 21.6175 12.07 21.529500000000002 0.0 0.05 3700.7194999999997 8.6467
